State,Cities
Andhra Pradesh,Guntur
Andhra Pradesh,Kurnool
Andhra Pradesh,Nellore
Andhra Pradesh,Vijaywada
Andhra Pradesh,Vishakhapatnam
Assam,Guwahati
Assam,Nagaon
Assam,Nalbari
Assam,Sibsagar
Assam,Silchar
Chandigarh,Chandigarh
Chattisgarh,Bhillai
Chandigarh,Korba
Chattisgarh,Raipur
Delhi,Delhi
Gujarat,Surat
Gujarat,Ahmedabad
Himachal Pradesh,Baddi
Himachal Pradesh,Damtal
Himachal Pradesh,Kala Amb
Himachal Pradesh,Nalagarh
Himachal Pradesh,Paonta Sahib
Himachal Pradesh,Parwanoo
Himachal Pradesh,Sunder Nagar
Jammu & Kashmir,Jammu
Jammu & Kashmir,Srinagar
Jharkhand,Dhanbad
Karnataka,Bangalore
Karnataka,Devanagere
Karnataka,Gulburga
Karnataka,Hubli-Dharwad
Madhya Pradesh,Bhopal
Madhya Pradesh,Dewas
Madhya Pradesh,Indore
Madhya Pradesh,Sagar
Madhya Pradesh,Ujjain
Madhya Pradesh,Gwalior
Maharashtra,Akola
Maharashtra,Amravati
Maharashtra,Aurangabad
Maharashtra,Badlapur
Maharashtra,Chandrapur
Maharashtra,Jalgaon
Maharashtra,Jalna
Maharashtra,Kolhapur
Maharashtra,Latur
Maharashtra,Mumbai
Maharashtra,Nagpur
Maharashtra,Nashik
Maharashtra,Navi Mumbai
Maharashtra,Pune
Maharashtra,Sangli
Maharashtra,Solapur
Maharashtra,Ulhasnagar
Meghalaya,Byrnihat
Nagaland,Dimapur
Nagaland,Kohima
Orissa,Angul
Orissa,Balasore
Orissa,Bhubneshwar
Orissa,Cuttack
Orissa,Rourkela
Orissa,Talcher
Punjab,DeraBassi
Punjab,Gobindgarh
Punjab,Jalandhar
Punjab,Khanna
Punjab,Ludhiana
Punjab,NayaNangal
Punjab,Pathankot/Dera Baba
Punjab,Patiala
Punjab,Amritsar
Rajasthan,Alwar
Rajasthan,Jaipur
Rajasthan,Jodhpur
Rajasthan,Kota
Rajasthan,Udaipur
Tamilnadu,Tuticorin
Telangana,Hydrabad
Telangana,Nalgonda
Telangana,Patencheru
Uttar Pradesh,Agra
Uttar Pradesh,Allahabad
Uttar Pradesh,Anpara
Uttar Pradesh,Bareily
Uttar Pradesh,Firozabad
Uttar Pradesh,Gajraula
Uttar Pradesh,Ghaziabad
Uttar Pradesh,Jhansi
Uttar Pradesh,Kanpur
Uttar Pradesh,Khurja
Uttar Pradesh,Lucknow
Uttar Pradesh,Muradabad
Uttar Pradesh,Noida
Uttar Pradesh,Raebareli
Uttar Pradesh,Varanasi
Uttarakhand,Kashipur
Uttarakhand,Rishikesh
West Bengal,Kolkata
Bihar,Patna
Bihar,Gaya
Bihar,Muzaffarpur